Landkreis;Landkreis ID;Lat;Lon;
Waldeck-Frankenberg;06635;51.1906875733;8.88888422026;
Rostock;13072;53.91204551;12.220833831;
Wolfsburg;03103;52.4107473932;10.7848707661;
Zwickau;14524;50.750774796;12.5258055075;
Haßberge;09674;50.0628789327;10.6069788351;
Rosenheim;09187;47.8783797472;12.162753976;
Groß-Gerau;06433;49.9045086093;8.47025247743;
Main-Taunus-Kreis;06436;50.1025789147;8.43457121479;
Schwerin;13004;53.6215100516;11.4165299501;
Braunschweig;03101;52.275221093;10.5241080552;
Düsseldorf;05111;51.235456959;6.81020262394;
Köln;05315;50.9456668791;6.97321855167;
Speyer;07318;49.3297181375;8.43501974938;
Westerwaldkreis;07143;50.5523493705;7.86568137201;
Ortenaukreis;08317;48.4209719355;8.01621990932;
Schwarzwald-Baar-Kreis;08326;48.0191197382;8.41096435345;
Kronach;09476;50.3279632281;11.3720466405;
Regensburg;09375;49.0213433263;12.1211612289;
Offenbach am Main;06413;50.091078767;8.78096226536;
Mecklenburgische Seenplatte;13071;53.5436927516;13.0024606209;
Borken;05554;51.9613198354;6.89961561244;
Euskirchen;05366;50.5364731669;6.6441519123;
Heinsberg;05370;51.0493489074;6.16411292416;
Oberhausen;05119;51.5131313527;6.84712049817;
Vulkaneifel;07233;50.2383358519;6.74865373201;
Saarlouis;10044;49.3553415477;6.77554333939;
Burgenlandkreis;15084;51.1472256333;11.8834224288;
Berchtesgadener Land;09172;47.6984724021;12.9018660877;
Landshut;09261;48.5446699826;12.1593416454;
Lindau (Bodensee);09776;47.6051649499;9.88286136549;
Passau;09262;48.5820983986;13.4150504225;
Märkisch-Oderland;12064;52.6067238051;14.1464643331;
Oberhavel;12065;52.9068326453;13.2053022184;
Darmstadt-Dieburg;06432;49.8555038512;8.79546987935;
Nordwestmecklenburg;13074;53.8215122283;11.2521094692;
Celle;03351;52.7133432321;10.1035661643;
Osnabrück;03404;52.2776798178;8.04703290985;
Osnabrück;03459;52.3816139244;8.04515734225;
Stendal;15090;52.6967781735;11.8395343529;
Chemnitz;14511;50.8263036941;12.9118299015;
Kiel;01002;54.3248406926;10.1322443646;
Rhein-Neckar-Kreis;08226;49.3684849338;8.76708442595;
Dachau;09174;48.3345482595;11.3571128101;
Fürth;09573;49.4466905187;10.8496864939;
Memmingen;09764;47.9787874869;10.1630276762;
Fulda;06631;50.5638809858;9.75913916517;
Rhein-Hunsrück-Kreis;07140;50.0442098205;7.50009971248;
Regionalverband Saarbrücken;10041;49.2513823946;6.95729652837;
Flensburg;01001;54.7849933768;9.43852835486;
Ansbach;09571;49.2481645834;10.4681333941;
Regen;09276;49.0228144148;13.0997637882;
Herne;05916;51.5375332354;7.20855761523;
Kleve;05154;51.6523631313;6.25880908496;
Krefeld;05114;51.3452191428;6.57966800647;
Mönchengladbach;05116;51.1671935981;6.41197447381;
Germersheim;07334;49.1159081733;8.2461937699;
Suhl;16054;50.611602852;10.6881775642;
Roth;09576;49.2029170864;11.1235654086;
Würzburg;09663;49.7846554247;9.94089602932;
Rheingau-Taunus-Kreis;06439;50.1419717211;8.08113471294;
Göttingen;03152;51.4989390206;9.92623513116;
Helmstedt;03154;52.2607443342;10.8888387183;
Bochum;05911;51.469927372;7.22493523189;
Bottrop;05512;51.5716938262;6.9201161778;
Frankenthal (Pfalz);07311;49.5330640295;8.35688379873;
Halle (Saale);15002;51.4798019096;11.9684968347;
Magdeburg;15003;52.1165976423;11.6414820231;
Esslingen;08116;48.6480216763;9.36916572775;
Ansbach;09561;49.2921846581;10.56366943;
Forchheim;09474;49.7209968812;11.1731319634;
Ostprignitz-Ruppin;12068;52.9914230426;12.6359589515;
Emden;03402;53.3606790665;7.18158411476;
Grafschaft Bentheim;03456;52.4760534093;7.01985676166;
Osterholz;03356;53.2510067251;8.80808093198;
Rotenburg (Wümme);03357;53.2507583937;9.30658483814;
Rheinisch-Bergischer Kreis;05378;51.0230044262;7.19484653806;
Wuppertal;05124;51.2506036112;7.16893008228;
Kaiserslautern;07335;49.446222318;7.6849815727;
Worms;07319;49.6494455343;8.32452863106;
Salzlandkreis;15089;51.8518591913;11.6427256195;
Erzgebirgskreis;14521;50.6088984202;12.9450724745;
Neumünster;01004;54.0811244365;9.98448195474;
Freudenstadt;08237;48.4744061685;8.4653129709;
Mannheim;08222;49.4994190357;8.50032443773;
Sigmaringen;08437;48.0391514971;9.24100350319;
Augsburg;09772;48.3542871832;10.7320845344;
Bad Kissingen;09672;50.2225139424;9.96470110779;
Bayreuth;09472;49.8837610883;11.5551557567;
Erlangen-Höchstadt;09572;49.6400408309;10.9148933012;
Kulmbach;09477;50.1026420807;11.4822991401;
Tirschenreuth;09377;49.8993890086;12.2003418405;
Weilheim-Schongau;09190;47.7875370323;11.0483364745;
Potsdam;12054;52.4261784936;13.0285491746;
Hamburg;02000;53.5463773461;10.0207944156;
Ludwigslust-Parchim;13076;53.4500470376;11.5341416118;
Diepholz;03251;52.7284857794;8.70179913631;
Leer;03457;53.2435417357;7.46976164078;
Gütersloh;05754;51.9317089342;8.35138605299;
Herford;05758;52.1675778068;8.64393163854;
Dithmarschen;01051;54.1329109614;9.10781447873;
Segeberg;01060;53.9199857446;10.1409147199;
Gotha;16067;50.9106605802;10.6937627152;
Hildburghausen;16069;50.4340027482;10.7340904102;
Sömmerda;16068;51.1578080643;11.1547511823;
Heidenheim;08135;48.6622814605;10.182150425;
Rastatt;08216;48.7618192531;8.24124756893;
Reutlingen;08415;48.4064763532;9.36572629856;
Tübingen;08416;48.481737902;8.98763400076;
Ulm;08421;48.3908327419;9.9500211353;
Donau-Ries;09779;48.8069320352;10.7123441979;
Neustadt an der Aisch-Bad Windsheim;09575;49.5694835927;10.4652916664;
Frankfurt am Main;06412;50.117968104;8.64419039448;
Hochtaunuskreis;06434;50.2816152547;8.50464605826;
Cuxhaven;03352;53.6165865049;8.81238237187;
Nienburg (Weser);03256;52.6092228116;9.1143129274;
Gelsenkirchen;05513;51.5539564213;7.07124023772;
Eifelkreis Bitburg-Prüm;07232;50.0621597731;6.41012996519;
Jerichower Land;15086;52.2607898277;12.0265188373;
Rems-Murr-Kreis;08119;48.899008131;9.50121295556;
Ingolstadt;09161;48.7550927761;11.3950069326;
Kempten (Allgäu);09763;47.7381842508;10.3081184931;
Neuburg-Schrobenhausen;09185;48.6644203317;11.197210668;
Straubing;09263;48.8807544792;12.5734748714;
Brandenburg an der Havel;12051;52.4027150878;12.5193337833;
Frankfurt (Oder);12053;52.3247630784;14.4903487489;
Vorpommern-Greifswald;13075;53.7895111552;13.780696363;
Zweibrücken;07320;49.2481606938;7.36539388964;
Rendsburg-Eckernförde;01058;54.2896157359;9.78174206802;
Schleswig-Flensburg;01059;54.6190195643;9.48870921465;
Heilbronn;08125;49.177198517;9.19077872323;
Bayreuth;09462;49.9377427404;11.5846727854;
München;09184;48.0744744023;11.6313680405;
Starnberg;09188;48.0060469771;11.2817326717;
Traunstein;09189;47.8945427587;12.5795750694;
Oberspreewald-Lausitz;12066;51.6163005208;13.9436173031;
Potsdam-Mittelmark;12069;52.246294705;12.6891435021;
Darmstadt;06411;49.88144614;8.66468155462;
Vogelsbergkreis;06535;50.6381193653;9.27137950882;
Ammerland;03451;53.2184881736;8.01326226621;
Wesermarsch;03461;53.357641762;8.38864623114;
Minden-Lübbecke;05770;52.3524754985;8.73934839311;
Landau in der Pfalz;07313;49.2244938821;8.05060075998;
Südliche Weinstraße;07337;49.1903823441;8.04807600445;
Sonneberg;16072;50.4146305494;11.1329526551;
Göppingen;08117;48.6631483606;9.71750497706;
Lörrach;08336;47.703504023;7.77402882816;
Augsburg;09761;48.3455708649;10.885505361;
Pfaffenhofen an der Ilm;09186;48.5962751771;11.5242827055;
Unterallgäu;09778;48.0398130352;10.3892327572;
Dahme-Spreewald;12061;52.0423069298;13.8199407798;
Teltow-Fläming;12072;52.073184313;13.276018196;
Offenbach;06438;50.0216774635;8.81143914637;
Northeim;03155;51.7425873324;9.84800893097;
Wolfenbüttel;03158;52.1269975166;10.583953795;
Hochsauerlandkreis;05958;51.3068253808;8.38507986661;
Rhein-Erft-Kreis;05362;50.9049330282;6.71649101914;
Siegen-Wittgenstein;05970;50.9377386445;8.19517026923;
Alzey-Worms;07331;49.759441395;8.15718502019;
Leipzig;14729;51.2214366733;12.5994908653;
